1024by1024matrix calculation time, millisecond second (ms), (ex. second = 1000 ms; minutes = 60000 ms),
Times of iteration, Classical Multiplication, DivideConquer, Strassen
1,2190,59750,33206
2,2090,59695,33129
3,2171,60217,32910
4,2139,59383,32932
5,2150,59404,33072
6,2172,59586,33003
7,2176,59440,33028
8,1961,59620,32918
9,2146,59461,33053
10,2147,59560,33022
11,1998,59636,33162
12,2159,59691,33195
13,2151,59680,33155
14,2129,60204,33019
15,2144,59520,33034
16,2137,59596,33079
17,2150,59636,33100
18,2153,59728,33091
19,2127,59726,33321
20,2005,59687,33211
21,2144,59793,33142
22,2168,60038,33005
23,2176,59544,33003
24,2150,59565,33382
25,2152,59909,33148
26,2131,59729,33166
27,2149,59725,33211
28,2178,59715,33118
29,2169,60172,32937
30,2180,59445,32917
31,2146,59473,32949
32,2142,59699,33158
33,1861,59950,33164
34,2160,59964,33312
35,2146,59832,33343
36,2074,59975,33073
37,2132,59689,33101
38,2167,59738,33181
39,2184,59752,33179
40,2158,59780,33186
41,2120,59912,33141
42,2146,60015,33379
43,2141,59885,33386
44,2184,59856,33054
45,2171,59687,33120
46,2160,59845,33217
47,2150,59930,33141
48,2149,59931,33137
49,2143,59941,33154
50,2151,59781,33292
,,,
Average time,2134.428571,59749.79592,33125.10204
