32by32matrix calculation time, millisecond second (ms), (ex. second = 1000 ms; minutes = 60000 ms)
Times of iteration, Classical Multiplication, DivideConquer, Strassen
1,0.0,4.0,2.0,
2,0.0,2.0,2.0,
3,0.0,2.0,3.0,
4,0.0,2.0,2.0,
5,0.0,3.0,2.0,
6,0.0,2.0,2.0,
7,0.0,3.0,2.0,
8,0.0,2.0,3.0,
9,0.0,2.0,4.0,
10,0.0,3.0,2.0,
11,0.0,2.0,2.0,
12,0.0,3.0,4.0,
13,0.0,2.0,2.0,
14,0.0,3.0,2.0,
15,0.0,3.0,2.0,
16,0.0,3.0,2.0,
17,0.0,2.0,3.0,
18,0.0,2.0,2.0,
19,0.0,2.0,3.0,
20,0.0,2.0,2.0,
21,0.0,2.0,3.0,
22,0.0,3.0,3.0,
23,0.0,2.0,2.0,
24,0.0,3.0,2.0,
25,1.0,1.0,3.0,
26,0.0,2.0,3.0,
27,0.0,2.0,2.0,
28,0.0,2.0,2.0,
29,0.0,2.0,3.0,
30,0.0,2.0,2.0,
31,0.0,2.0,2.0,
32,0.0,2.0,2.0,
33,0.0,2.0,3.0,
34,0.0,2.0,2.0,
35,0.0,2.0,2.0,
36,0.0,2.0,2.0,
37,0.0,2.0,3.0,
38,0.0,2.0,2.0,
39,0.0,2.0,2.0,
40,0.0,2.0,2.0,
41,0.0,2.0,3.0,
42,0.0,2.0,2.0,
43,0.0,2.0,2.0,
44,0.0,2.0,3.0,
45,0.0,2.0,2.0,
46,0.0,2.0,2.0,
47,0.0,2.0,3.0,
48,0.0,2.0,2.0,
49,0.0,2.0,2.0,
50,0.0,2.0,3.0,

Average time, 0.02040816326530612,2.163265306122449,2.3877551020408165
