2048by2048matrix calculation time, millisecond second (ms), (ex. second = 1000 ms; minutes = 60000 ms),
Times of iteration, Classical Multiplication, DivideConquer, Strassen
1,14403,477778,232624
2,16591,479014,231948
3,16206,477690,231887
4,16343,479671,233332
5,14727,478086,231922
6,14684,477783,232079
7,16166,478911,232771
8,16186,477879,232695
9,16591,478016,231638
10,16085,476928,231797
11,16068,478262,232788
12,16224,478468,231620
13,14823,476926,231788
14,16077,478196,232540
15,14492,476705,231705
16,16287,477935,232342
17,15429,476821,231558
18,16480,477319,232121
19,16197,478062,232191
20,14547,478294,233062
21,16742,477055,232526
22,15888,477948,233512
23,16422,477254,231724
24,16106,476940,231967
25,16349,477882,233315
26,16555,477361,231647
27,16374,476944,232296
28,14779,476840,232564
29,16290,477888,232049
30,16160,478413,231790
31,16183,477701,232565
32,16274,478611,231526
33,16323,477050,231550
34,16192,476947,231676
35,16470,478093,232532
36,14632,477117,233070
37,14568,477320,233000
38,16416,477246,232393
39,16062,479628,232046
40,15943,478645,231947
41,16326,478235,231709
42,16425,477172,232370
43,15833,477398,232243
44,15932,477967,231594
45,16312,476994,231747
46,14664,478108,232682
47,16580,477716,232897
48,16300,478025,231566
49,16334,476697,231608
50,15969,477892,231557
,,,
Average time,15951.14286,477756.1837,232192.898
