256by256matrix calculation time, millisecond second (ms), (ex. second = 1000 ms; minutes = 60000 ms)
Times of iteration, Classical Multiplication, DivideConquer, Strassen
1,13.0,931.0,670.0,
2,14.0,926.0,669.0,
3,14.0,923.0,668.0,
4,14.0,932.0,684.0,
5,14.0,939.0,671.0,
6,14.0,942.0,690.0,
7,13.0,927.0,670.0,
8,14.0,928.0,673.0,
9,14.0,928.0,672.0,
10,14.0,927.0,676.0,
11,14.0,943.0,675.0,
12,14.0,943.0,688.0,
13,14.0,928.0,672.0,
14,14.0,927.0,671.0,
15,14.0,928.0,672.0,
16,14.0,929.0,671.0,
17,13.0,937.0,687.0,
18,14.0,935.0,675.0,
19,14.0,954.0,683.0,
20,14.0,925.0,671.0,
21,13.0,928.0,673.0,
22,14.0,930.0,673.0,
23,14.0,929.0,683.0,
24,14.0,945.0,670.0,
25,14.0,945.0,692.0,
26,14.0,930.0,680.0,
27,13.0,930.0,670.0,
28,14.0,927.0,671.0,
29,14.0,930.0,731.0,
30,14.0,941.0,681.0,
31,14.0,932.0,970.0,
32,72.0,1199.0,783.0,
33,15.0,974.0,682.0,
34,16.0,1139.0,698.0,
35,15.0,944.0,679.0,
36,14.0,933.0,681.0,
37,14.0,933.0,701.0,
38,14.0,959.0,673.0,
39,13.0,927.0,669.0,
40,13.0,927.0,672.0,
41,13.0,926.0,677.0,
42,13.0,926.0,674.0,
43,14.0,945.0,727.0,
44,13.0,927.0,682.0,
45,13.0,938.0,669.0,
46,13.0,935.0,671.0,
47,14.0,925.0,669.0,
48,14.0,925.0,669.0,
49,14.0,937.0,681.0,
50,13.0,928.0,679.0,

Average time, 15.020408163265307,943.5714285714286,687.1020408163265
