Number Iteration,  Algorithm1(Newton), Algorithm2(Broyden with Jacobi), Algorithm3(Good Broyden with Jacobi)
1,263.0518696,980.9536981,980.9536981
2,122.8367322,422.1391703,422.1391703
3,54.72437261,2658.065703,2658.065703
4,52.77605138,3576.893978,3576.893978
5,11.2067583,1379.801857,1379.801857
6,3.186572426,4452.090595,4452.090595
7,1.426848189,5961.212746,5961.212746
8,0.713617191,2569.578303,2569.578303
9,0.361267466,3899.895936,3899.895936
10,0.188400971,849.6546462,849.6546462
11,0.102548513,6187.057666,6187.057666
12,0.045353096,7122.894847,7122.894847
13,0.006636043,524.6349414,524.6349414
14,7.34E-05,1080.599595,1080.599595
15,4.49E-09,4226.285027,4226.285027
16,0,5058.824359,5058.824359
17,0,1950.07314,1950.07314
18,0,2963.329516,2963.329517
19,0,426.979876,426.979876
20,0,380.3511264,380.3511264
21,0,104.0969165,104.0969165
22,0,0.059314413,0.059314408
23,0,0.207129613,0.20712962
24,0,629.2828772,629.2829073
25,0,2439.745858,2439.745563
26,0,7391.754048,7391.748366
27,0,9048.090959,9048.087879
28,0,12274.1677,12274.24694
29,0,10749.46897,10749.562
30,0,7009.740094,7009.549174
31,0,7389.369748,7389.187345
32,0,620.7342664,620.762259
33,0,1447.486829,1447.493148
34,0,222.932458,222.9248071
35,0,13.43815502,13.4359764
36,0,11.68987421,11.68818925
37,0,363.3495837,363.3516417
38,0,1404.266113,1404.27266
39,0,435.1272709,435.0429692
40,0,384.4007683,384.3302296
41,0,1438.950997,1438.815062
42,0,859.4704353,859.334596
43,0,261.8308034,261.8025258
44,0,89.56943012,89.56292353
45,0,10.00263626,10.01596157
46,0,13.36615054,13.38886112
47,0,22436.32056,20968.85881
48,0,22438.2967,20970.97456
49,0,4.998709571,5.3528415
50,0,10.66253074,11.41692163
51,0,4.747019628,5.063066828
52,0,91.75395484,97.69689574
53,0,312.9356245,333.1881621
54,0,1141.195811,1046.167371
55,0,1361.766567,1343.200134
56,0,768.9300876,1678.447503
57,0,1102.787928,1966.094038
58,0,128.5709057,188.1720979
59,0,387.5457313,543.5160063
60,0,1130.341582,1965.781425
61,0,1666.439131,2219.040847
62,0,10986.68596,683.0519303
63,0,11171.39352,1040.459016
64,0,232.4074959,170.6125004
65,0,630.5201136,1871.450899
66,0,93.26415746,1967.264413
67,0,4.911796216,230.6826583
68,0,3.512699025,393.2804872
69,0,11.50837905,231.899949
70,0,6.295014001,815.6334754
71,0,7.720286788,1613.747957
72,0,15.79112085,2581.476538
73,0,371.0416173,5421.906175
74,0,379.4676478,6430.847477
75,0,23.06689021,4879.978263
76,0,45.58855527,5500.747683
77,0,20.45627473,393.0888024
78,0,114.8195708,890.7598419
79,0,140.8345682,609.9938394
80,0,122.0231087,1175.799271
81,0,142.5591112,4706.307394
82,0,30.63607734,6038.757407
83,0,95.31883052,10592.45116
84,0,698.61405,11133.75428
85,0,705.43396,334.5817596
86,0,9.256449514,2688.146969
87,0,43.79487403,2889.438013
88,0,13.1040579,632.2220226
89,0,85.40552685,843.6393387
90,0,100.4239394,280.1908749
91,0,46.66409722,7195.7969
92,0,76.94254578,7233.430251
93,0,79.29038958,61.34476198
94,0,96.79080246,165.5670102
95,0,32.75439403,161.0463216
96,0,85.62186216,242.6972593
97,0,876.9691982,308.3343325
98,0,882.8181801,352.0631709
99,0,11.1141683,86.0714289
100,0,24.03104606,129.1444826
101,0,12.39690319,74.56914825
102,0,79.63892905,137.9553181
103,0,100.8614008,553.7076107
104,0,84.42138357,568.492246
105,0,96.74666301,47.0004951
106,0,14.68981602,69.04564204
107,0,194.7354484,25.87678701
108,0,222.1461027,404.0675419
109,0,54.84220953,442.0428969
110,0,101.2832346,124.2857618
111,0,72.438928,163.8876346
112,0,106.2775062,57.29756689
113,0,68.34734136,247.0856366
114,0,111.3102467,347.3670686
115,0,138.4869663,3680.716996
116,0,158.5586134,3693.935825
117,0,25.22456083,15.85716714
118,0,148.6904292,38.12209377
119,0,239.5964578,18.63473521
120,0,1598.260522,238.2513525
121,0,1613.760607,12.55420922
122,0,20.78604012,98.88979284
123,0,79.15015549,178.5293365
124,0,25.22151433,52.28371918
125,0,30.95438168,18.78539186
126,0,82.33649516,3.494089406
127,0,98.91885353,24.78412176
128,0,29.32920806,28.24116967
129,0,62.04452052,0.376287523
130,0,132.3710104,7.701279265
131,0,144.2325792,12.92959518
132,0,15.75419876,2.181488497
133,0,67.77882551,0.106781945
134,0,547.5000225,0.893235034
135,0,555.8383472,0.510379263
136,0,12.98751658,0.128970243
137,0,35.95734795,0.035227317
138,0,16.56399944,0.365280368
139,0,137.151903,0.090139702
140,0,147.0052236,9.94E-04
141,0,15.66296725,0.020169548
142,0,38.89824595,0.426824951
143,0,50.40645034,0.729618763
144,0,68.33540769,0.284433823
145,0,39.24183664,0.077247771
146,0,56.57520925,0.002927432
147,0,27.79937336,0.011338525
148,0,55.80796858,0.013680876
149,0,198.4759666,0.019379289
150,0,205.4929081,4.12E-04
151,0,8.545560486,0.013172659
152,0,43.40952341,0.02657083
153,0,402.5341748,0.010353488
154,0,405.9091535,5.99E-04
155,0,3.801280647,0.003840572
156,0,26.99735543,0.008676007
157,0,485.2114632,0.01279377
158,0,486.2505454,0.002427802
159,0,1.128359514,0.008584664
160,0,15.28896929,0.020672213
161,0,6.647166909,0.018786209
162,0,11.52006557,0.007918914
163,0,41.86025705,0.024448048
164,0,49.45496689,0.013746117
165,0,24.59730806,0.009714683
166,0,30.86133069,0.243021471
167,0,4.782396147,0.478031343
168,0,29.50076645,1.340073111
169,0,36.84486718,0.818680206
170,0,15.65317765,1.774633423
171,0,23.34888983,3.875287339
172,0,9.265873076,0.086413614
173,0,22.56373238,0.783777559
174,0,350.1557834,0.081971314
175,0,350.8952223,1.844855363
176,0,0.894975216,15.88239196
177,0,5.614275896,19.4704239
178,0,2.656386063,5.420022795
179,0,11.52382602,28.08966066
