Problem size, Algorithm1(Newton), Algorithm2(Broyden Jacobi with Identity Matrix), Algorithm3(Good Broyden with Jacobi Matrix)
2,0.020202020202020204,2.5757575757575757,0.47474747474747475
4,0.050505050505050504,17.636363636363637,0.41414141414141414
8,0.020202020202020204,-0.0,1.1616161616161615
16,0.10101010101010101,-0.0,2.6363636363636362
32,0.31313131313131315,-0.0,10.391752577319588
64,1.404040404040404,-0.0,59.34736842105263
128,10.191919191919192,-0.0,432.7578947368421
256,93.4949494949495,-0.0,4865.0114942528735
512,836.7171717171717,-0.0,43285.02352941177
1024,9094.424242424242,-0.0,401510.37704918033
